Date Time Diftime[microsec] /quatW quatX quatY quatZ /accelX accelY accelZ /gyroX gyroY gyroZ /eulerX eulerY eulerZ /heading
 11.1002 10.9266 128.662 231.338
2018-Nov-26 11:29:15.901160 4663 0.377886 0.0467257 0.0698359 0.922032 0.130493 0.166992 0.955078 -9.21631 15.2588 -4.27246 9.4447 -1.93947 135.589 224.411
2018-Nov-26 11:29:15.906529 5369 0.378189 0.0465516 0.0694989 0.921941 0.126526 0.168701 0.959351 -10.6201 10.0098 -8.66699 9.40187 -1.93243 135.551 224.449
2018-Nov-26 11:29:15.912365 5836 0.378652 0.0463228 0.069093 0.921793 0.113464 0.162109 0.963867 -12.2681 9.21631 -12.3901 9.34967 -1.92097 135.494 224.506
2018-Nov-26 11:29:15.916115 3750 0.379268 0.0459134 0.068624 0.921596 0.0936279 0.148254 0.97052 -14.0381 10.3149 -15.9912 9.28317 -1.89143 135.416 224.584
2018-Nov-26 11:29:15.921664 5549 0.380022 0.0454046 0.0681151 0.921348 0.0702515 0.157898 0.979431 -15.8691 9.33838 -19.104 9.20833 -1.85172 135.32 224.68
2018-Nov-26 11:29:15.926062 4398 0.380895 0.0448852 0.0675694 0.921053 0.0446777 0.162476 0.999146 -17.395 6.28662 -21.5454 9.1293 -1.81142 135.21 224.79
2018-Nov-26 11:29:15.930792 4730 0.381842 0.0443069 0.066975 0.920732 0.019165 0.157776 1.00818 -18.7988 4.15039 -22.9492 9.04259 -1.76642 135.091 224.909
2018-Nov-26 11:29:15.937803 7011 0.382826 0.0436257 0.0663818 0.920399 -0.003479 0.158325 1.02527 -19.4702 3.66211 -23.6206 8.95145 -1.71021 134.966 225.034
2018-Nov-26 11:29:15.940703 2900 0.38381 0.0428878 0.0658461 0.920063 -0.0184937 0.162903 1.0365 -19.043 3.41797 -23.4985 8.86382 -1.6456 134.84 225.16
2018-Nov-26 11:29:15.947054 6351 0.384764 0.0420804 0.0653901 0.919734 -0.0344238 0.156067 1.05682 -17.5781 3.96729 -22.7661 8.78139 -1.57051 134.717 225.283
2018-Nov-26 11:29:15.950640 3586 0.385639 0.0411645 0.0650753 0.919431 -0.0495605 0.158569 1.05634 -15.4419 6.04248 -20.9351 8.70886 -1.47852 134.603 225.397
2018-Nov-26 11:29:15.956199 5559 0.386394 0.0401115 0.0649339 0.919171 -0.0632324 0.161133 1.06256 -13.3057 9.33838 -18.1885 8.64827 -1.36546 134.502 225.498
2018-Nov-26 11:29:15.962358 6159 0.387014 0.038934 0.0649278 0.918961 -0.0700684 0.152039 1.05969 -11.1084 12.5732 -15.1367 8.5961 -1.23445 134.417 225.583
2018-Nov-26 11:29:15.965965 3607 0.387513 0.0377051 0.0650179 0.918795 -0.0797729 0.150024 1.05249 -9.15527 14.0381 -12.2681 8.55151 -1.09488 134.345 225.655
2018-Nov-26 11:29:15.971505 5540 0.387907 0.0365235 0.0651744 0.918666 -0.0796509 0.152893 1.0545 -7.50732 13.6719 -9.70459 8.51581 -0.958435 134.287 225.713
2018-Nov-26 11:29:15.976060 4555 0.388206 0.0354478 0.0653695 0.918567 -0.0769043 0.14679 1.04712 -5.5542 12.3291 -7.38525 8.48871 -0.832413 134.242 225.758
2018-Nov-26 11:29:15.980566 4506 0.388428 0.034483 0.0655869 0.918495 -0.0715332 0.141418 1.03979 -3.60107 11.1084 -5.49316 8.4688 -0.717926 134.206 225.794
2018-Nov-26 11:29:15.985950 5384 0.388604 0.0336607 0.0658362 0.918433 -0.0669556 0.14679 1.04108 -1.83105 9.21631 -4.3335 8.45853 -0.617599 134.178 225.822
2018-Nov-26 11:29:15.990700 4750 0.38874 0.0330274 0.0661165 0.918378 -0.0609741 0.154114 1.03101 -0.305176 6.28662 -3.2959 8.45995 -0.536331 134.155 225.845
2018-Nov-26 11:29:15.996658 5958 0.388818 0.0325235 0.0664067 0.918342 -0.053833 0.151123 1.02496 0.793457 4.69971 -1.83105 8.46815 -0.468933 134.14 225.86
2018-Nov-26 11:29:16.000717 4059 0.388817 0.0319911 0.0667479 0.918337 -0.0511475 0.152466 1.00684 1.46484 6.5918 0 8.48041 -0.396927 134.134 225.866
2018-Nov-26 11:29:16.007992 7275 0.388718 0.0312782 0.0671678 0.918373 -0.0498657 0.152954 1 1.34277 11.5967 2.01416 8.4929 -0.30307 134.14 225.86
2018-Nov-26 11:29:16.010596 2604 0.388514 0.0303357 0.0676547 0.918455 -0.053833 0.151611 0.990723 0.671387 17.2119 4.21143 8.50218 -0.182739 134.156 225.844
2018-Nov-26 11:29:16.015991 5395 0.388235 0.0292277 0.0681625 0.918571 -0.0580444 0.151489 0.987854 -0.366211 20.813 5.92041 8.50633 -0.0445709 134.181 225.819
2018-Nov-26 11:29:16.021065 5074 0.387909 0.0281098 0.0686479 0.918708 -0.0649414 0.164246 0.985901 -1.83105 20.5078 7.14111 8.50772 0.0931854 134.211 225.789
2018-Nov-26 11:29:16.025918 4853 0.387528 0.0270598 0.06906 0.918869 -0.0628662 0.162048 0.987366 -3.17383 18.6157 8.60596 8.50449 0.219925 134.249 225.751
2018-Nov-26 11:29:16.030577 4659 0.387088 0.0260317 0.0693778 0.91906 -0.0668945 0.157959 0.984802 -4.63867 17.4561 10.1929 8.49237 0.339539 134.295 225.705
2018-Nov-26 11:29:16.037550 6973 0.386601 0.0249942 0.0696303 0.919275 -0.0632935 0.160034 0.992859 -6.04248 17.4561 11.4136 8.47305 0.456787 134.348 225.652
2018-Nov-26 11:29:16.040587 3037 0.386065 0.0239745 0.0698319 0.919512 -0.0667114 0.163879 0.998535 -7.26318 16.8457 12.6343 8.44928 0.569382 134.407 225.593
2018-Nov-26 11:29:16.047152 6565 0.385474 0.0229827 0.0699789 0.919774 -0.0675049 0.162415 0.995239 -8.30078 15.8081 14.1602 8.42113 0.676071 134.474 225.526
2018-Nov-26 11:29:16.050708 3556 0.384827 0.0220301 0.070048 0.920063 -0.0668335 0.155212 0.993896 -9.15527 14.5874 15.625 8.38666 0.774597 134.548 225.452
2018-Nov-26 11:29:16.056187 5479 0.384128 0.0211552 0.0700253 0.920377 -0.0612183 0.151306 0.998108 -9.8877 12.8784 17.0288 8.34607 0.860306 134.63 225.37
2018-Nov-26 11:29:16.062085 5898 0.383386 0.0203817 0.0699055 0.920713 -0.0581055 0.148743 1.00183 -10.7422 10.5591 18.2495 8.29987 0.930527 134.719 225.281
2018-Nov-26 11:29:16.065824 3739 0.38261 0.0197327 0.0696863 0.921067 -0.0533447 0.148621 1.00812 -11.6577 7.62939 19.2261 8.24876 0.982788 134.813 225.187
2018-Nov-26 11:29:16.071388 5564 0.381826 0.0192392 0.0693741 0.921426 -0.0431519 0.145691 1.00677 -12.146 4.5166 19.6533 8.19475 1.01439 134.91 225.09
2018-Nov-26 11:29:16.075783 4395 0.381069 0.0189598 0.0689782 0.921775 -0.0306396 0.152405 1.02301 -12.3291 0.610352 19.165 8.14128 1.01973 135.006 224.994
2018-Nov-26 11:29:16.080817 5034 0.380372 0.0189575 0.0684934 0.922099 -0.0200195 0.153503 1.03058 -12.146 -4.94385 18.0054 8.0905 0.992233 135.097 224.903
2018-Nov-26 11:29:16.087854 7037 0.379768 0.0193406 0.0682039 0.922361 0.0340576 0.269165 1.02667 -12.6343 -7.50732 15.3198 8.07719 0.933197 135.177 224.823
2018-Nov-26 11:29:16.090807 2953 0.379475 0.0190998 0.0679748 0.922504 0.0153198 0.159363 1.03516 -14.1602 6.7749 6.71387 8.04263 0.946136 135.214 224.786
2018-Nov-26 11:29:16.097196 6389 0.379263 0.0183228 0.0675995 0.922634 -0.00964355 0.102905 1.02765 -13.4888 14.2822 4.45557 7.96901 1.01051 135.238 224.762
